Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
LIVINGAPARTMENTS_MEDI,3,"[0.16, inf)",13245,0.054,12479,766,0.058,0.359,0.006,0.001,-0.44,-1.343
LIVINGAPARTMENTS_MEDI,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.44,5.726
LIVINGAPARTMENTS_MEDI,5,Missing,168196,0.684,153654,14542,0.086,-0.074,0.004,0.0,-0.44,7.182
LIVINGAREA_MEDI,0,"[-inf, 0.02)",15006,0.061,13624,1382,0.092,-0.143,0.001,0.0,0.431,2.963
LIVINGAREA_MEDI,1,"[0.02, 0.04)",13443,0.055,12338,1105,0.082,-0.019,0.0,0.0,0.431,5.364
LIVINGAREA_MEDI,2,"[0.04, 0.06)",12509,0.051,11596,913,0.073,0.11,0.001,0.0,0.431,7.849
LIVINGAREA_MEDI,3,"[0.06, 0.07)",13716,0.056,12732,984,0.072,0.129,0.001,0.0,0.431,8.207
LIVINGAREA_MEDI,4,"[0.07, 0.09)",17084,0.069,15918,1166,0.068,0.182,0.002,0.0,0.431,9.241
LIVINGAREA_MEDI,5,"[0.09, 0.13)",19759,0.08,18468,1291,0.065,0.229,0.004,0.0,0.431,10.142
LIVINGAREA_MEDI,6,"[0.13, 0.19)",12301,0.05,11576,725,0.059,0.339,0.005,0.001,0.431,12.262
LIVINGAREA_MEDI,7,"[0.19, inf)",18603,0.076,17578,1025,0.055,0.41,0.011,0.001,0.431,13.639
LIVINGAREA_MEDI,8,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.431,5.726
LIVINGAREA_MEDI,9,Missing,123587,0.502,112302,11285,0.091,-0.134,0.01,0.001,0.431,3.144
NONLIVINGAPARTMENTS_MEDI,0,"[-inf, 0.00)",57225,0.233,53260,3965,0.069,0.166,0.006,0.001,0.43,8.925
NONLIVINGAPARTMENTS_MEDI,1,"[0.00, inf)",17915,0.073,16714,1201,0.067,0.201,0.003,0.0,0.43,9.607
NONLIVINGAPARTMENTS_MEDI,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.43,5.726
NONLIVINGAPARTMENTS_MEDI,3,Missing,170868,0.695,156158,14710,0.086,-0.069,0.003,0.0,0.43,4.392
NONLIVINGAREA_MEDI,0,"[-inf, 0.00)",49892,0.203,46315,3577,0.072,0.129,0.003,0.0,-0.473,2.991
NONLIVINGAREA_MEDI,1,"[0.00, 0.06)",45145,0.184,42032,3113,0.069,0.171,0.005,0.001,-0.473,2.105
NONLIVINGAREA_MEDI,2,"[0.06, inf)",15028,0.061,14120,908,0.06,0.312,0.005,0.001,-0.473,-0.882
NONLIVINGAREA_MEDI,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.473,5.726
NONLIVINGAREA_MEDI,4,Missing,135943,0.553,123665,12278,0.09,-0.122,0.009,0.001,-0.473,8.303
FONDKAPREMONT_MODE,0,['org spec account' 'reg oper spec account'],14189,0.058,13288,901,0.063,0.26,0.003,0.0,-0.17,3.756
FONDKAPREMONT_MODE,1,['reg oper account' 'not specified'],63533,0.258,59082,4451,0.07,0.154,0.006,0.001,-0.17,4.555
